äœë™ì˙,pH,"EC
(mS/m)",êÖâ∑(Åé),é©ï¨ó (L/min),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO2
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","SiO2
(mg/L)","3H
(T.U.)","14C
(pMC)"
2011/3/24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/4/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/5/17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/6/28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/7/19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/8/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/9/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/9/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/11/25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/12/21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/1/23,7,13.44,11.2,-9999,4.4,0.1,0.9,3.1,11.7,4.1,1.5,7.4,36,13.6,-9999,-9999
2012/2/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/2/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/3/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/4/17,6.97,10.31,11.8,-9999,4.4,0,1,3.3,12.4,5.2,1.7,7.5,35.9,13.7,-9999,-9999
2012/5/14,7.25,10.33,12.7,-9999,4.4,0,1,3.3,12.4,5.2,1.8,7.4,36.1,12.9,-9999,-9999
2012/6/12,7.22,11.54,12.1,-9999,4.4,0,0.9,3.3,12.4,5.7,1.8,7.5,36.6,13.9,-9999,-9999
2012/7/10,7.07,10.58,12.8,-9999,4.4,0,1,3.2,12.4,5.7,1.8,7.2,34.5,13.9,-9999,-9999
2012/8/20,8.05,10,12.2,-9999,4.3,0,0.9,3.2,12.1,4.7,1.8,7.2,34.9,13.9,-9999,-9999
2012/9/20,8.01,12.2,11.6,-9999,4.3,0,0.9,3.2,12.3,4.6,1.7,7.4,36.2,14.3,-9999,-9999
2012/10/16,7.1,10.92,12.3,-9999,4.4,0,1,3.2,12.1,4.8,1.6,7.3,35.9,13.8,-9999,-9999
2012/11/20,7.13,10.12,11.9,-9999,4.3,0,0.9,3.7,11.5,4.4,1.5,7.2,37.2,13.6,-9999,-9999
2012/12/14,7.32,10.01,11.6,-9999,4.3,0,0.9,3.2,11.3,4.3,1.5,7.2,38.3,13.6,-9999,-9999
2013/1/20,7,10.06,11.7,-9999,4.2,0,1,3.1,11.3,4.4,1.2,7.5,37,14.3,-9999,-9999
2013/2/15,7.06,10.5,11.5,-9999,4.3,0,1,3.1,11.4,4.9,1.7,7.6,36.6,14.1,-9999,-9999
2013/3/20,7.28,6.35,11.6,-9999,4.3,0,1,3.1,11.4,5.2,1.6,7.7,36.1,14,-9999,-9999
2013/4/17,6.89,10.25,11.7,-9999,4.4,0,1,3.2,11.8,5.3,1.8,7.6,36.4,13.4,-9999,-9999
2013/5/23,6.48,10.48,12.1,-9999,4.5,0,1,3.3,11.9,6.2,1.9,7.5,36.5,13.9,-9999,-9999
2013/6/20,7.47,10.59,12.3,-9999,4.5,0,1,3.3,12.2,6.8,1.8,7.5,37.3,13.9,-9999,-9999
2013/7/25,6.96,10.89,12.4,-9999,4.6,0,1,3.2,11.6,7.6,1.9,7.4,36.6,13.7,-9999,-9999
2013/8/14,7.24,11.06,13.2,-9999,4.6,0,1.1,3.1,11.2,7.7,1.8,7.4,37.3,13,-9999,-9999
2013/9/13,7.29,10.66,12.7,-9999,4.6,0,1.1,3.1,11.2,7.1,1.8,7.3,37.2,14,-9999,-9999
2013/10/25,6.84,10.53,12.3,-9999,4.5,0,1.1,3,10.9,6.3,1.6,7.4,37.6,13.3,-9999,-9999
2013/11/20,6.96,10.48,11.9,-9999,4.5,0,1,3,10.9,5.5,1.6,7.4,37.8,14.2,-9999,-9999
2013/12/20,7.26,11.08,11.5,-9999,4.4,0,1,3,10.7,5.3,1.5,7.5,37.3,13.9,-9999,-9999
2014/1/20,7.23,10.69,11.6,-9999,4.5,0,1,3,10.6,5.3,1.6,7.2,37.8,14.2,-9999,-9999
2014/2/26,6.96,10.22,11.8,-9999,4.5,0,1,3,11,5.6,1.7,7.2,41,13.9,-9999,-9999
2014/3/20,7.04,10.32,11.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/4/21,7.1,10.58,11.9,-9999,4.6,0,1,3.1,11.5,6.8,1.9,7.1,37.7,14.1,-9999,-9999
2014/5/11,7.03,12.45,12.7,-9999,4.5,0,1,3.1,11.1,6.9,1.8,7.4,38.6,13.7,-9999,-9999
2014/5/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/24,6.99,10.74,12.9,-9999,4.6,0,1,3.2,11.8,7.2,1.6,7.6,37.2,13.7,-9999,-9999
2014/7/9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/23,6.65,10.74,12.6,-9999,4.6,0,1,3.2,12,7.2,1.6,7.3,37.8,14,-9999,-9999
2014/7/24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/23,7.25,10.75,12.5,-9999,4.6,0,1.1,3.1,10.8,7.1,1.5,7,38.7,14.6,-9999,-9999
2014/8/26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/9/15,7.11,10.62,12.8,-9999,4.7,0,1.1,3.1,11.3,7.3,1.3,7.3,37.5,14.7,-9999,-9999
2014/9/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/10/15,7.57,10.45,12.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/10/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/11/17,6.97,10.62,11.7,-9999,4.7,0.1,1,1.1,10,4.4,0.8,8.6,30.5,9.4,-9999,-9999
